55.803	66.197	0
50.303	22.701	1
56.098	69.902	1
5	68.598	0
16.799	2.7	1
22.6	45.898	1
60.799	75.902	0
99.803	10.401	0
29.498	82.303	0
97.795	9.9	0
55.197	76.303	1
45.898	22.201	0
9.9	65.803	0
9.9	65.803	0
9.9	65.803	1
41	94.5	1
64.303	7	0
17.1	56.402	1
7.1	56.697	0
14.301	96.5	0
0.1	75.902	0
67.902	4.7	1
85.098	7.1	1
65.697	72.394	0
6.8	80.803	1
36.799	74.697	0
30.898	57.205	1
66.295	88.5	1
68.803	99.697	0
39.799	15.701	1
47.5	37.402	0
10.401	43.902	0
83.303	98.5	1
93.197	98.697	1
28.201	34.5	0
86.697	1.7	0
26.1	77.803	0
25.799	30.199	0
99.5	51.701	0
36.799	68.803	1
42.898	84.795	0
90.5	99.098	0
36.799	24.5	0
91.697	39.701	0
96	64.205	0
10.7	15.9	0
73.902	23.299	1
87.402	87.598	0
13.6	88.902	0
65.697	2.2	1
44.803	65.205	1
82.803	11.8	0
9.099	15.4	1
17	42.098	0
74.197	28.701	0
25.402	24.799	0
96.402	25.6	0
90.697	44.299	1
23.4	68.402	0
87.5	11.4	1
4.8	24	0
37.701	66.795	1
99.598	18.701	0
21.4	4.9	0
67.295	84.402	0
66.5	13.3	1
36.799	74.5	0
91.394	2.9	0
17.299	4.1	1
68.902	8.2	1
8.6	89.902	0
78.598	55.5	1
87.197	39.299	1
48.402	42.398	1
51.5	9.6	1
71.402	77.303	1
86.197	1.7	0
19.402	53.102	1
58.898	55.697	0
96.402	23.701	0
95.402	97.098	1
39.701	42.5	0
92.295	47.799	1
28.5	99.803	0
65.106	3.8	1
43.701	83.705	1
33	93.902	0
33.299	32.303	0
28.098	29.699	1
40.5	35.701	0
82.5	98.402	1
27.4	20.5	1
24.4	94.803	0
58.799	23.701	1
24.699	95.705	1
63	4.9	0
18.9	7.1	1
18.098	64.205	0
99.902	54.004	1
30.002	83.098	0
52.299	96	1
15.9	64.705	1
1.9	58.996	0
83.902	98.098	1
24.799	76.205	1
79	30.701	1
63	68.598	1
97.098	19.5	0
19.301	45.697	0
24.799	21.699	1
16.799	60.398	1
52.201	58	1
81.803	85.5	0
16.1	70.303	0
10.2	22	0
59.299	13.099	1
2.3	84.098	1
48.697	57.598	1
8	33.197	1
44.803	52.299	1
98.795	25.799	1
11.1	74.598	0
16.9	67.295	0
65.303	31.799	1
63.803	41.5	1
98.197	24	1
17	31.5	1
38.5	41.5	0
36.701	32.201	1
67.197	40.098	0
74.402	10	0
76.205	44.803	0
7.8	16	0
86.902	63.098	1
68.098	54.902	1
4	96.5	1
18.098	24.299	0
72.697	8.901	1
76.303	71.303	0
67.197	71.106	1
43.398	91.197	0
18.199	1.7	1
7.7	96.803	0
0.3	23.4	0
36.598	61.795	0
33.197	70.303	0
51.5	13.401	1
68	19.9	1
47.299	84.5	1
17.701	22.799	1
83.902	15.299	1
99.803	57.799	1
43.598	62	1
35.201	8.8	0
73.902	40.598	0
65.106	46.098	0
90.106	48.299	1
66.295	90.106	0
32.701	4.5	1
12.8	43.598	1
50.197	17.4	1
71.5	21.799	0
78.5	10.401	0
18.701	98.295	1
75.902	34.402	0
86.598	65.697	1
88	42.398	0
97.894	19.5	1
98.402	74.098	1
58.398	67.197	1
4.1	95.205	0
41.5	52.102	0
75.098	18.4	1
29.1	11.599	1
37	62.402	1
24.799	21.4	1
62.402	79.697	1
67.795	65.697	1
23.4	62.803	0
62.598	72.894	1
34.402	24.9	0
28.098	84.303	0
37.402	47.402	1
83.902	60.004	1
82.5	70.902	1
37.598	40.902	0
62.098	38.402	1
6	79.5	0
39.299	21.6	1
35.201	6.1	1
19.799	8.299	1
12.2	55.098	0
27.5	4.9	1
26.9	44.5	1
38.803	15.2	1
7.8	15.6	0
86.795	13.6	1
35	89.303	0
50.5	24.799	1
17	81.5	1
54.201	3.1	0
4.2	51.201	0
41.803	39.398	1
99.295	71.902	1
77.606	64.902	1
16.5	91.902	1
69.5	87.803	0
55.295	95.803	1
36	93.697	0
13.2	56.598	0
78.098	0	0
77.902	50.705	0
23.9	27.902	0
72.5	28.9	0
55.902	78.697	1
45.201	38.299	1
57.303	44.602	0
1.6	81.598	0
52.496	14.201	1
65.902	92.5	0
7.2	9.5	0
77.705	60.201	0
65.902	36.299	0
59.504	20.4	1
31.402	1.6	0
89.402	79.795	0
30.4	39.5	1
28	18.299	0
56.5	29.6	0
83.5	41.299	0
59.602	54.598	0
76.5	77.606	1
94.598	75.402	1
22.9	21.9	0
30.5	29.4	1
89.606	91.295	1
44.102	72.098	1
69.098	16.598	1
53.201	84	1
67.098	90.803	1
2.6	6.2	0
21.1	0.6	0
89.606	74.295	0
35.402	82.098	1
89.205	87.803	0
26.699	42.697	0
21.9	30.799	1
69.303	46.598	1
24.6	72.5	1
60.102	18.6	0
27.799	46.598	1
99.197	12.5	1
97.197	84	0
34.799	75.598	0
51.098	79.902	0
28.602	59.799	1
47.201	3	0
14.1	54.402	1
56.303	22.5	0
9.701	16.598	1
97.295	22.5	0
53.602	47.602	0
94.098	14.1	0
0.4	65.902	0
19.699	33.898	0
59.102	44.701	0
60.701	69.803	1
32.602	5.3	1
9.4	20.701	0
59.799	7.4	1
35.402	51	1
21.199	90.902	0
46.799	13	0
57.902	19.6	0
16.598	64.803	0
92.902	20.701	1
5.5	52.701	0
